id,Y,Wind,Rain,Area
1,5,6.7,0,0
2,4,0.9,0,0
3,4,1.3,0,0
4,6,4,0.2,0
5,6,1.8,0,0
6,6,5.4,0,0
7,6,3.1,0,0
8,6,2.2,0,0
9,6,5.4,0,0
10,5,4,0,0
11,5,7.2,0,0
12,5,4,0,0
13,5,6.7,0,0
14,5,2.2,0,0
15,5,4.5,0,0
16,5,5.4,0,0
17,5,5.4,0,0
18,5,4.9,0,0
19,4,4,0,0
20,4,4.5,0,0
21,4,2.7,0,0
22,4,2.7,0,0
23,4,4.5,0,0
24,4,5.8,0,0
25,4,5.8,0,0
26,4,5.4,0,0
27,4,5.8,0,0
28,4,1.3,0,0
29,3,2.7,0,0
30,3,3.6,0,0
31,3,3.6,0,0
32,3,7.6,0,0
33,3,1.8,0,0
34,3,3.6,0,0
35,3,2.7,0,0
36,3,4.5,0,0
37,3,4.5,0,0
38,4,5.4,0,0
39,3,4,0,0
40,4,2.7,0,0
41,4,3.1,0,0
42,4,6.7,0,0
43,4,5.4,0,0
44,4,2.7,0,0
45,4,4.9,0,0
46,6,4,0,0
47,6,3.6,0,0
48,6,3.1,0,0
49,4,1.8,0,0
50,4,5.8,0,0
51,4,1.3,0,0
52,3,2.2,0,0
53,3,4.9,0,0
54,3,4.9,0,0
55,3,3.6,0,0
56,3,2.2,0,0
57,3,4.9,0,0
58,3,2.7,0,0
59,2,5.4,0,0
60,2,0.9,0,0
61,2,5.8,0,0
62,2,6.3,0,0
63,2,4.9,0,0
64,2,2.7,0,0
65,2,3.1,0,0
66,2,4.5,0,0
67,2,4.5,0,0
68,2,5.4,0,0
69,2,6.3,0,0
70,5,4.5,0,0
71,5,7.6,0,0
72,5,3.6,0,0
73,4,6.3,0,0
74,4,4.5,0,0
75,4,1.3,0,0
76,9,3.1,0,0
77,9,3.1,0,0
78,3,3.1,0,0
79,2,2.7,0,0
80,2,6.7,0,0
81,2,6.3,0,0
82,2,2.2,0,0
83,2,4.5,0,0
84,2,0.9,0,0
85,2,3.6,0,0
86,2,0.9,0,0
87,2,2.2,0,0
88,2,2.2,0,0
89,2,3.6,0,0
90,5,4.9,0,0
91,5,5.8,0,0
92,6,5.4,0,0
93,6,6.3,0,0
94,6,4.9,0,0
95,6,2.7,0,0
96,4,1.3,0,0
97,4,1.8,0,0
98,4,5.4,0,0
99,4,4.5,0,0
100,4,5.4,0,0
101,4,5.4,0,0
102,4,5.4,0,0
103,4,4,0,0
104,4,4.5,0,0
105,4,3.1,0,0
106,5,6.3,0,0
107,5,3.1,0,0
108,5,3.1,0,0
109,5,3.1,0,0
110,5,5.4,0,0
111,4,5.8,0,0
112,4,4.5,0,0
113,4,3.6,0,0
114,4,2.7,0,0
115,4,7.6,0,0
116,5,6.3,0,0
117,4,6.3,0,0
118,4,4.9,0,0
119,4,4,0,0
120,4,3.1,0,0
121,4,2.2,0,0
122,4,5.4,0,0
123,4,5.4,0,0
124,4,3.1,0,0
125,4,5.4,0,0
126,4,5.4,0,0
127,5,2.2,0,0
128,5,3.1,0,0
129,5,3.6,0,0
130,5,0.9,0,0
131,6,2.7,0,0
132,6,3.1,0,0
133,6,4.9,0,0
134,6,3.1,0,0
135,5,2.7,0,0
136,5,5.8,0,0
137,6,1.3,0,0
138,6,3.1,0,0
139,9,2.7,0,0.36
140,4,2.2,0,0.43
141,5,1.8,0,0.47
142,2,4.5,0,0.55
143,6,8.9,0,0.61
144,2,5.4,0,0.71
145,5,5.4,0,0.77
146,5,4,0,0.9
147,4,5.4,0,0.95
148,3,3.6,0,0.96
149,2,6.7,0,1.07
150,6,4.5,0,1.12
151,5,5.4,0,1.19
152,9,2.2,0,1.36
153,4,1.8,0,1.43
154,4,4.9,0,1.46
155,5,2.7,0,1.46
156,4,1.3,0,1.56
157,4,2.2,0,1.61
158,2,3.6,0,1.63
159,4,4,0,1.64
160,4,5.8,0,1.69
161,4,3.1,0,1.75
162,4,4,0,1.9
163,3,8.5,0,1.94
164,6,1.8,0,1.95
165,5,2.2,0,2.01
166,5,4.5,0,2.14
167,5,0.9,0,2.29
168,5,4.5,0,2.51
169,5,9.4,0,2.53
170,6,2.2,0,2.55
171,4,1.8,0,2.57
172,6,4,0,2.69
173,4,5.4,0,2.74
174,4,2.2,0,3.07
175,4,1.8,0,3.5
176,4,4.9,0,4.53
177,5,5.8,0,4.61
178,5,2.7,0,4.69
179,5,2.2,0,4.88
180,6,5.4,0,5.23
181,3,6.7,0,5.33
182,6,4,0,5.44
183,4,2.2,0,6.38
184,4,4.5,0,6.83
185,6,4.9,0,6.96
186,5,3.1,0,7.04
187,6,5.8,0,7.19
188,5,2.2,0,7.3
189,4,0.9,0,7.4
190,4,4,0,8.24
191,5,4,0,8.31
192,5,2.7,0,8.68
193,2,4.5,0,8.71
194,5,4,0,9.41
195,2,4.5,0,10.01
196,5,5.4,0,10.02
197,5,5.8,0,10.93
198,5,0.9,0,11.06
199,4,6.3,0,11.24
200,4,3.6,0,11.32
201,5,2.2,0,11.53
202,5,3.6,0,12.1
203,4,2.2,0,13.05
204,6,2.7,0,13.7
205,6,4,0,13.99
206,5,1.8,0,14.57
207,2,7.2,0,15.45
208,5,2.2,0,17.2
209,5,6.3,0,19.23
210,3,4.9,0,23.41
211,4,3.1,0,24.23
212,4,5.8,0,26
213,4,4.9,0,26.13
