id,Y,Month,Day,Temperature,Relative Humidity
1,5,Maret,Friday,8.2,51
2,4,Oktober,Tuesday,18,33
3,4,Oktober,Saturday,14.6,33
4,6,Maret,Friday,8.3,97
5,6,Maret,Sunday,11.4,99
6,6,Agustus,Sunday,22.2,29
7,6,Agustus,Monday,24.1,27
8,6,Agustus,Monday,8,86
9,6,September,Tuesday,13.1,63
10,5,September,Saturday,22.8,40
11,5,September,Saturday,17.8,51
12,5,September,Saturday,19.3,38
13,5,Agustus,Friday,17,72
14,5,September,Monday,21.3,42
15,5,September,Wednesday,26.4,21
16,5,September,Friday,22.9,44
17,5,Maret,Saturday,15.1,27
18,5,Oktober,Monday,16.7,47
19,4,Maret,Wednesday,15.9,35
20,4,April,Saturday,9.3,44
21,4,September,Tuesday,18.3,40
22,4,September,Monday,19.1,38
23,4,Juni,Sunday,21,44
24,4,Agustus,Saturday,19.5,43
25,4,Agustus,Saturday,23.7,32
26,4,Agustus,Sunday,16.3,60
27,4,September,Friday,19,34
28,4,September,Monday,19.4,48
29,3,September,Saturday,30.2,24
30,3,September,Sunday,22.8,39
31,3,September,Friday,25.4,24
32,3,September,Monday,11.2,78
33,3,September,Friday,20.6,37
34,3,September,Sunday,17.7,39
35,3,September,Monday,21.2,32
36,3,September,Tuesday,18.2,62
37,3,Oktober,Tuesday,21.7,24
38,4,Oktober,Friday,11.3,60
39,3,Oktober,Saturday,17.8,27
40,4,Maret,Tuesday,14.1,43
41,4,Julii,Tuesday,23.3,37
42,4,Agustus,Saturday,18.4,42
43,4,Agustus,Tuesday,16.6,54
44,4,September,Saturday,19.6,48
45,4,September,Wednesday,12.9,74
46,6,September,Wednesday,25.9,24
47,6,September,Monday,14.7,70
48,6,Julii,Monday,23,36
49,4,Maret,Monday,11.8,35
50,4,Maret,Monday,11,46
51,4,September,Thursday,20.8,17
52,3,Agustus,Sunday,21.5,34
53,3,Agustus,Wednesday,20.4,42
54,3,Agustus,Wednesday,20.4,42
55,3,Agustus,Thursday,17.6,45
56,3,September,Thursday,27.7,24
57,3,September,Tuesday,17.8,63
58,3,Oktober,Sunday,13.8,50
59,2,Februari,Monday,13.9,40
60,2,Februari,Friday,12.3,51
61,2,Maret,Sunday,11.5,39
62,2,Maret,Sunday,5.5,59
63,2,Agustus,Thursday,18.8,35
64,2,Agustus,Sunday,20.8,33
65,2,Agustus,Monday,23.1,31
66,2,Agustus,Thursday,18.6,44
67,2,September,Friday,23,37
68,2,September,Friday,19.6,33
69,2,September,Friday,19.6,33
70,5,Maret,Friday,17.2,26
71,5,Maret,Friday,15.8,27
72,5,September,Friday,17.7,37
73,4,Maret,Friday,15.6,25
74,4,Agustus,Tuesday,17.3,43
75,4,September,Friday,27.6,30
76,9,Februari,Thursday,6.7,79
77,9,Februari,Friday,15.7,43
78,3,Maret,Monday,8.3,72
79,2,Agustus,Friday,14.7,66
80,2,Agustus,Tuesday,21.6,19
81,2,Agustus,Sunday,19.5,39
82,2,Agustus,Sunday,17.9,44
83,2,Agustus,Tuesday,18.6,51
84,2,Agustus,Wednesday,16.6,47
85,2,Agustus,Thursday,20.2,45
86,2,September,Thursday,21.5,15
87,2,September,Thursday,25.4,27
88,2,September,Thursday,22.4,34
89,2,September,Sunday,25.3,36
90,5,Maret,Saturday,17.4,25
91,5,Agustus,Saturday,14.7,59
92,6,Maret,Friday,17.4,24
93,6,Agustus,Sunday,20.8,32
94,6,Agustus,Sunday,18.2,43
95,6,Agustus,Monday,23.4,22
96,4,September,Sunday,17.8,64
97,4,Februari,Saturday,12.7,48
98,4,Maret,Saturday,17.4,24
99,4,Agustus,Sunday,11.6,87
100,4,Agustus,Sunday,19.8,39
101,4,Agustus,Sunday,19.8,39
102,4,Agustus,Tuesday,14.4,66
103,4,Agustus,Tuesday,20.1,40
104,4,September,Saturday,24.1,29
105,4,Januari,Saturday,5.3,78
106,5,Maret,Friday,12.7,52
107,5,Maret,Thursday,18.2,29
108,5,Agustus,Sunday,21.4,33
109,5,September,Saturday,20.3,45
110,5,September,Monday,17.4,56
111,4,Maret,Friday,13.7,43
112,4,Maret,Friday,18.8,18
113,4,September,Sunday,22.8,39
114,4,September,Monday,18.9,35
115,4,Maret,Tuesday,15.8,27
116,5,Maret,Tuesday,15.5,27
117,4,Maret,Saturday,11.6,30
118,4,Maret,Saturday,15.2,27
119,4,Maret,Monday,10.6,30
120,4,Agustus,Thursday,19.6,36
121,4,Agustus,Monday,10.3,74
122,4,Agustus,Monday,17.1,43
123,4,September,Sunday,22.5,42
124,4,September,Tuesday,17.9,45
125,4,September,Friday,19.8,50
126,4,Oktober,Sunday,20.6,24
127,5,Maret,Monday,9,49
128,5,September,Friday,17.2,43
129,5,Oktober,Wednesday,15.9,46
130,5,Oktober,Sunday,15.4,35
131,6,Februari,Saturday,15.4,40
132,6,Maret,Monday,14,39
133,6,Maret,Sunday,10.6,46
134,6,September,Thursday,17.6,42
135,5,Maret,Tuesday,14.9,38
136,5,Agustus,Saturday,17.6,52
137,6,September,Sunday,17.2,58
138,6,September,Monday,15.6,66
139,9,Julii,Tuesday,18,42
140,4,September,Tuesday,21.7,38
141,5,September,Monday,21.9,39
142,2,Agustus,Wednesday,23.3,31
143,6,Agustus,Friday,21.2,51
144,2,Julii,Saturday,16.6,53
145,5,Agustus,Wednesday,23.8,32
146,5,Agustus,Thursday,27.4,22
147,4,Maret,Monday,13.2,40
148,3,September,Tuesday,24.2,28
149,2,Agustus,Tuesday,17.4,43
150,6,September,Thursday,23.7,25
151,5,Juni,Friday,23.2,39
152,9,Julii,Sunday,24.8,29
